"Space Group" "Crystal System" "Asymmetric Unit" Symmetries "Orbit Period" "Unit Cell"
186 Hexagonal 14 x,y,z;-x,-y,z+1/2;-y,x-y,z;-x+y,-x,z;x-y,x,z+1/2;y,-x+y,z+1/2;-x+y,y,z;x,x-y,z;-y,-x,z;y,x,z+1/2;-x,-x+y,z+1/2;x-y,-y,z+1/2 12 20.634,20.634,8.426,90.0,90.0,120.0
187 Hexagonal 8 x,y,z;-y,x-y,z;-x+y,-x,z;-y,-x,-z;x,x-y,-z;-x+y,y,-z;-x+y,y,z;x,x-y,z;-y,-x,z;x,y,-z;-x+y,-x,-z;-y,x-y,-z 12 13.063,13.063,7.565,90.0,90.0,120.0
189 Hexagonal 10 x,y,z;-y,x-y,z;-x+y,-x,z;x-y,-y,-z;-x,-x+y,-z;y,x,-z;y,x,z;-x,-x+y,z;x-y,-y,z;x,y,-z;-x+y,-x,-z;-y,x-y,-z 12 13.057,13.057,12.969,90.0,90.0,120.0
190 Hexagonal 3 x,y,z;-y,x-y,z;-x+y,-x,z;x-y,-y,-z;-x,-x+y,-z;y,x,-z;y,x,z+1/2;-x,-x+y,z+1/2;x-y,-y,z+1/2;x,y,-z+1/2;-x+y,-x,-z+1/2;-y,x-y,-z+1/2 12 8.391,8.391,5.259,90.0,90.0,120.0
191 Hexagonal 13 x,y,z;-x,-y,z;-y,x-y,z;-x+y,-x,z;x-y,x,z;y,-x+y,z;x-y,-y,-z;-x,-x+y,-z;y,x,-z;-y,-x,-z;x,x-y,-z;-x+y,y,-z;-x,-y,-z;x,y,-z;y,-x+y,-z;x-y,x,-z;-x+y,-x,-z;-y,x-y,-z;-x+y,y,z;x,x-y,z;-y,-x,z;y,x,z;-x,-x+y,z;x-y,-y,z 24 19.031,19.031,14.101,90.0,90.0,120.0
192 Hexagonal 5 x,y,z;-x,-y,z;-y,x-y,z;-x+y,-x,z;x-y,x,z;y,-x+y,z;x-y,-y,-z+1/2;-x,-x+y,-z+1/2;y,x,-z+1/2;-y,-x,-z+1/2;x,x-y,-z+1/2;-x+y,y,-z+1/2;-x,-y,-z;x,y,-z;y,-x+y,-z;x-y,x,-z;-x+y,-x,-z;-y,x-y,-z;-x+y,y,z+1/2;x,x-y,z+1/2;-y,-x,z+1/2;y,x,z+1/2;-x,-x+y,z+1/2;x-y,-y,z+1/2 24 13.8271,13.8271,8.5803,90.0,90.0,120.0
193 Hexagonal 10 x,y,z;-x,-y,z+1/2;-y,x-y,z;-x+y,-x,z;x-y,x,z+1/2;y,-x+y,z+1/2;x-y,-y,-z+1/2;-x,-x+y,-z+1/2;y,x,-z+1/2;-y,-x,-z;x,x-y,-z;-x+y,y,-z;-x,-y,-z;x,y,-z+1/2;y,-x+y,-z;x-y,x,-z;-x+y,-x,-z+1/2;-y,x-y,-z+1/2;-x+y,y,z+1/2;x,x-y,z+1/2;-y,-x,z+1/2;y,x,z;-x,-x+y,z;x-y,-y,z 24 13.058,13.058,25.919,90.0,90.0,120.0
194 Hexagonal 4 x,y,z;-x,-y,z+1/2;-y,x-y,z;-x+y,-x,z;x-y,x,z+1/2;y,-x+y,z+1/2;x-y,-y,-z;-x,-x+y,-z;y,x,-z;-y,-x,-z+1/2;x,x-y,-z+1/2;-x+y,y,-z+1/2;-x,-y,-z;x,y,-z+1/2;y,-x+y,-z;x-y,x,-z;-x+y,-x,-z+1/2;-y,x-y,-z+1/2;-x+y,y,z;x,x-y,z;-y,-x,z;y,x,z+1/2;-x,-x+y,z+1/2;x-y,-y,z+1/2 24 12.494,12.494,5.254,90.0,90.0,120.0
205 Cubic 12 x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z;-x,y+1/2,-z+1/2;z,x,y;y,z,x;-z+1/2,-x,y+1/2;-y,z+1/2,-x+1/2;z+1/2,-x+1/2,-y;-y+1/2,-z,x+1/2;-z,x+1/2,-y+1/2;y+1/2,-z+1/2,-x;-x,-y,-z;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z;x,-y+1/2,z+1/2;-z,-x,-y;-y,-z,-x;z+1/2,x,-y+1/2;y,-z+1/2,x+1/2;-z+1/2,x+1/2,y;y+1/2,z,-x+1/2;z,-x+1/2,y+1/2;-y+1/2,z+1/2,x 24 19.845,19.845,19.845,90.0,90.0,90.0
213 Cubic 29 x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z;-x,y+1/2,-z+1/2;z,x,y;y,z,x;-z+1/2,-x,y+1/2;-y,z+1/2,-x+1/2;z+1/2,-x+1/2,-y;-y+1/2,-z,x+1/2;-z,x+1/2,-y+1/2;y+1/2,-z+1/2,-x;-y+3/4,-x+3/4,-z+3/4;y+3/4,x+1/4,-z+1/4;y+1/4,-x+1/4,z+3/4;-y+1/4,x+3/4,z+1/4;-x+3/4,-z+3/4,-y+3/4;-z+3/4,-y+3/4,-x+3/4;x+3/4,z+1/4,-y+1/4;-z+1/4,y+3/4,x+1/4;x+1/4,-z+1/4,y+3/4;z+3/4,y+1/4,-x+1/4;-x+1/4,z+3/4,y+1/4;z+1/4,-y+1/4,x+3/4 24 26.31,26.31,26.31,90.0,90.0,90.0
